# Matter power spectrum P(k) at redshift z=45
# for k=1.02901e-05 to 20.064 h/Mpc,
# number of wavenumbers equal to 630
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.630867000201e-01       1.978660535991e+00 
       1.668854772648e-01       1.899164155777e+00 
       1.707727393985e-01       1.833966908817e+00 
       1.747505474991e-01       1.780516144797e+00 
       1.788210106530e-01       1.735002073393e+00 
       1.829862870738e-01       1.693168731898e+00 
       1.872485852461e-01       1.650364094200e+00 
       1.916101650968e-01       1.602154000506e+00 
       1.960733391933e-01       1.545926236653e+00 
       2.006404739696e-01       1.481272365329e+00 
       2.053139909810e-01       1.410078470291e+00 
       2.100963681881e-01       1.335964337815e+00 
       2.149901412705e-01       1.263170672117e+00 
       2.199979049715e-01       1.195516446484e+00 
       2.251223144738e-01       1.135816387846e+00 
       2.303660868071e-01       1.085415696318e+00 
       2.357320022888e-01       1.043887367285e+00 
       2.412229059985e-01       1.009140189152e+00 
       2.468417092858e-01       9.776974844243e-01 
       2.525913913148e-01       9.459258260072e-01 
       2.584750006429e-01       9.111454528574e-01 
       2.644956568376e-01       8.723065986130e-01 
       2.706565521306e-01       8.301303957214e-01 
       2.769609531101e-01       7.868593119768e-01 
       2.834122024530e-01       7.454827421175e-01 
       2.900137206970e-01       7.084795699213e-01 
       2.967690080545e-01       6.767594418102e-01 
       3.036816462683e-01       6.495182938591e-01 
       3.107553005106e-01       6.249632477928e-01 
       3.179937213266e-01       6.009505037641e-01 
       3.254007466228e-01       5.757651505300e-01 
       3.329803037021e-01       5.490214909568e-01 
       3.407364113458e-01       5.217426280367e-01 
       3.486731819451e-01       4.954519897561e-01 
       3.567948236807e-01       4.714060052919e-01 
       3.651056427545e-01       4.500925928371e-01 
       3.736100456728e-01       4.308518348545e-01 
       3.823125415827e-01       4.124304102802e-01 
       3.912177446626e-01       3.939881680368e-01 
       4.003303765691e-01       3.753327883436e-01 
       4.096552689403e-01       3.569155016645e-01 
